"","X.x","sector","state","year","action_occurred","protest_occurred","strike_occurred","total_strikes","total_protests","total_actions","X.y","all_employees","avg_hourly_earnings_all","avg_hourly_earnings_production","avg_weekly_earnings_all","avg_weekly_earnings_production","avg_weekly_hours_all","avg_weekly_hours_production","production_nonsupervisory_employees","Labor.Force","Labor.Force.Participation.Rate","Unemployment.Rate","state_labor_force","state_labor_part","state_unempl_rate","X","adjusted_cpi"
"109",109,"Construction","Kentucky",2021,0,0,0,0,0,0,150,79.5166666666667,NA,NA,NA,NA,NA,NA,NA,2020231.91666667,57.3333333333333,4.45833333333333,2020.23191666667,57.3333333333333,4.45833333333333,324,241.8551237
"110",110,"Construction","Kentucky",2022,0,0,0,0,0,0,151,83.4666666666667,NA,NA,NA,NA,NA,NA,NA,2044974.91666667,57.825,4.05,2044.97491666667,57.825,4.05,375,261.5807862125
"111",111,"Construction","Kentucky",2023,0,0,0,0,0,0,152,89.8583333333333,NA,NA,NA,NA,NA,NA,NA,2056509.58333333,57.65,4.28333333333333,2056.50958333333,57.65,4.28333333333333,426,275.6597655
"112",112,"Construction","Kentucky",2024,0,0,0,0,0,0,153,93.925,NA,NA,NA,NA,NA,NA,NA,2093848,58.1166666666667,5.075,2093.848,58.1166666666667,5.075,477,283.79615586
"113",113,"Construction","Kentucky",2025,1,1,0,0,1,1,154,94.25,NA,NA,NA,NA,NA,NA,NA,2118413.5,58.475,5.225,2118.4135,58.475,5.225,NA,NA
"114",114,"Construction","Kentucky",2026,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115",115,"Construction","Louisiana",2021,0,0,0,0,0,0,161,129.466666666667,NA,NA,NA,NA,NA,NA,NA,2051638.08333333,57.5583333333333,5.6,2051.63808333333,57.5583333333333,5.6,325,247.6348693625
"116",116,"Construction","Louisiana",2022,0,0,0,0,0,0,162,128.991666666667,NA,NA,NA,NA,NA,NA,NA,2063849,58.1583333333333,3.66666666666667,2063.849,58.1583333333333,3.66666666666667,376,264.7235831875
"117",117,"Construction","Louisiana",2023,0,0,0,0,0,0,163,131.083333333333,NA,NA,NA,NA,NA,NA,NA,2072347,58.3416666666667,3.74166666666667,2072.347,58.3416666666667,3.74166666666667,427,269.190896041667
"118",118,"Construction","Louisiana",2024,0,0,0,0,0,0,164,139.733333333333,NA,NA,NA,NA,NA,NA,NA,2079307.41666667,58.2833333333333,4.35833333333333,2079.30741666667,58.2833333333333,4.35833333333333,478,277.136350858333
"119",119,"Construction","Louisiana",2025,0,0,0,0,0,0,165,136.75,NA,NA,NA,NA,NA,NA,NA,2059757.75,57.625,4.25,2059.75775,57.625,4.25,NA,NA
"120",120,"Construction","Louisiana",2026,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
